food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,,,,,,,,0.0,,,253.0,
"Soupe asiatique, avec pâtes, déshydratée reconstituée",,,,,,,,,,,,334.0,
"Soupe marocaine, déshydratée reconstituée",,,,,,,,,,,,318.0,
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",,,417.0,,,,,,,,,292.0,
"Soupe à la volaille et aux légumes, déshydratée reconstituée",,,,,,,,,,,,292.0,
"Bouillon de boeuf, déshydraté reconstitué",,,,,,,2.0,,,,0.0,290.0,
"Soupe aux asperges, déshydratée reconstituée",,,,,,,,,,,,303.0,
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,,,,,,,,,,,307.0,
"Soupe aux céréales et aux légumes, déshydratée reconstituée",,,,,,,,,,94.0,,312.0,
"Soupe à la tomate, déshydratée reconstituée",,11.0,417.0,,,,5.0,,10.0,65.0,,278.0,
"Soupe aux champignons, déshydratée reconstituée",,10.0,512.0,,,,,,,48.0,,311.0,
"Soupe à l'oignon, déshydratée reconstituée",,20.0,517.0,,,1.0,,,,,,318.0,
"Soupe au potiron, préemballée à réchauffer",,15.0,421.0,,,,,,17.0,130.0,,256.0,
"Bouillon de volaille, déshydraté reconstitué",,5.0,,0.0,,,1.0,,0.0,10.0,0.0,312.0,
"Bouillon de légumes, déshydraté reconstitué",,1.0,,0.0,,,2.0,,0.0,8.0,,240.0,
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,,343.0,,,,,,0.0,62.0,,271.0,
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",,,379.0,,,,,,14.0,36.0,,272.0,
"Soupe au pistou, préemballée à réchauffer",,,,,,,,,,,,260.0,
"Soupe au potiron, déshydratée reconstituée",,,,,,,,,,,,279.0,
"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,,,,,360.0,
"Soupe minestrone, déshydratée reconstituée",,,427.0,,,,,,,122.0,,281.0,
"Soupe au cresson, déshydratée reconstituée",,,,,,,,,,,,308.0,
"Soupe au cresson, préemballée à réchauffer",,,,,,,,,,,,310.0,
"Soupe aux légumes avec fromage, préemballée à réchauffer",,,,,,,,,,,,268.0,
"Soupe aux légumes verts, préemballée à réchauffer",,24.0,423.0,,,,,,24.0,120.0,,280.0,
"Soupe aux légumes verts, déshydratée reconstituée",,12.0,446.0,,,,3.0,,15.0,50.0,,264.0,
"Soupe aux pois cassés, préemballée à réchauffer",,,,,,,,,,,,279.0,
"Soupe froide type Gaspacho ou Gazpacho, préemballée",,11.0,468.0,,,,,,25.0,210.0,,293.0,
"Soupe aux asperges, préemballée à réchauffer",,,,,,,,,,,,,
Soupe (aliment moyen),,,454.0,,,,,,,108.0,,296.0,
"Soupe miso, déshydratée reconstituée",,18.0,661.0,,,70.0,,,19.0,49.0,,438.0,
Tripes à la mode de Caen,,23.0,,,,6.0,,,,,,423.0,
"Tripes à la mode de Caen, préemballées",,,,,,,,,,,,421.0,
Tripes à la tomate ou à la provençale,,,751.0,,,,,,,,,492.0,
Blanquette de veau,,15.0,432.0,,,,12.0,,110.0,190.0,,295.0,
Boeuf bourguignon,,,409.0,,,,,,215.0,230.0,,354.0,
"Sauté d'agneau au curry, préemballé",,,,,,,,,181.0,200.0,,514.0,
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",,,,,,,,,,,,,
"Lapin à la moutarde, préemballé",,,,,,,,,,,,480.0,
Coq au vin,,14.0,,,,,16.0,,128.0,145.0,,420.0,
Paupiette de veau,,,,,1.0,,,,133.0,272.0,,510.0,
Paupiette de volaille,,,,,,,,,130.0,264.0,,251.0,
Viande en sauce (aliment moyen),,,471.0,,,,,,142.0,198.0,,341.0,
Poulet au curry et au lait de coco,,18.0,625.0,,,,18.0,,110.0,210.0,,427.0,
"Meloukhia, plat à base de boeuf et corete, fait maison",,,,,,,,,88.0,228.0,,373.0,2.0
"Palette à la diable, préemballée",,,,,1.0,,,,,,,901.0,
"Langue de boeuf sauce madère, préemballée",,,,,,,,,,,,430.0,
"Porc au caramel, préemballé",,,805.0,,,,12.0,,94.0,160.0,,536.0,
"Boulettes au boeuf, à la sauce tomate, préemballées",,,,,,,,,,,,,
"Paupiette de veau, préemballée,  cuite au four",,24.0,558.0,,,,18.0,,180.0,260.0,,428.0,
"Carpaccio de boeuf, avec marinade",,112.0,,,,,,,187.0,242.0,,437.0,
Yakitori (brochettes japonaises grillées en sauce),,,706.0,,,,31.0,,220.0,340.0,,475.0,
"Brochette de boeuf, cuite",,23.0,445.0,,,,25.0,,200.0,430.0,,345.0,
"Brochette de volaille, cuite",,13.0,465.0,,,,33.0,,230.0,520.0,,299.0,
"Hachis parmentier à la viande, préemballé",,,482.0,,,,,,,184.0,,322.0,
Couscous au mouton,,,607.0,,,3.0,,,,187.0,,322.0,
"Couscous à la viande ou au poulet, préemballé, allégé",,22.0,,,,,17.0,,88.0,148.0,,300.0,
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",,26.0,465.0,,,,20.0,,88.0,390.0,,260.0,
"Couscous royal (avec plusieurs viandes), préemballé",,,474.0,,,,,,,179.0,,345.0,
Couscous au poulet,,,674.0,,,3.0,,,69.0,153.0,,307.0,
"Couscous à la viande, préemballé",,,474.0,,,,,,,179.0,,313.0,
"Parmentier de canard, préemballé",,,,,,,,,,,,310.0,
"Parmentier de canard, préemballé, cuit",,39.0,498.0,,,,14.0,,74.0,290.0,,296.0,
"Cassoulet, appertisé",,,495.0,,,6.0,,,107.0,289.0,,388.0,
"Choucroute garnie, préemballée",,,633.0,,,,18.0,,,,,552.0,
"Petit salé ou saucisse aux lentilles, préemballé",,20.0,610.0,,,2.0,,,145.0,167.0,,384.0,
"Pot-au-feu, préemballé",,,304.0,,,6.0,,,,189.0,,130.0,
Boeuf aux carottes,,,425.0,,,,,,95.0,119.0,,231.0,
Potée auvergnate (chou et porc),,,,,,4.0,,,78.0,221.0,,356.0,
"Cassoulet au porc, appertisé",,,474.0,,,,,,,293.0,,500.0,
"Cassoulet au canard ou oie, appertisé",,,570.0,,,,,,,307.0,,416.0,
Tomate farcie,,,,,,4.0,,,62.0,199.0,,280.0,
"Chou farci, préemballé",,145.0,,,,,,,,,,350.0,
"Chili con carne, préemballé",,,631.0,,,2.0,,,,282.0,,371.0,
Moussaka,,16.0,,,,,22.0,,150.0,576.0,,393.0,
Navarin d'agneau aux légumes,,,,,,,,,107.0,230.0,,260.0,
Tajine de mouton,,,583.0,,,2.0,,,102.0,211.0,1.0,394.0,3.0
Osso buco,,,,,,,,,,234.0,,586.0,
"Poulet basquaise, préemballé",,,,,,,,,,,,355.0,
"Tajine de poulet, préemballé",,18.0,621.0,,,,17.0,,82.0,220.0,,466.0,
"Chop suey (porc ou poulet), préemballé",,,,,,,,,,,,,
Légumes farcis (sauf tomate),,,,,,,,,,184.0,,277.0,
Moules marinières (oignons et vin blanc),,,,,,,,,,,,345.0,
"Moules farcies (matière grasse, persillade…), préemballées, crues",,40.0,790.0,,,100.0,45.0,,180.0,180.0,30.0,430.0,2.0
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",,,,,,,,,,223.0,,328.0,
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",,52.0,559.0,,,20.0,24.0,,120.0,180.0,,366.0,
"Saumon à l'oseille, préemballé",,,,,,,,,,,,277.0,
"Poisson blanc à la bordelaise, préemballé",,,724.0,,,92.0,,,162.0,317.0,,513.0,
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",,,506.0,,,71.0,,,99.0,348.0,,280.0,
"Poisson blanc à la florentine (sauce aux épinards), préemballé",,,,,,,,,,,,232.0,
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",,,,,,,,,,,,,
"Poisson blanc à la sauce moutarde, préemballé",,,,,,,,,,,,,
"Poisson blanc à la parisienne (sauce aux champignons), préemballé",,,,,,,,,,,,220.0,
"Poisson blanc à l'estragon, préemballé",,,,,,,,,,,,,
"Poisson blanc sauce oseille, préemballé",,40.0,572.0,,,44.0,27.0,,130.0,260.0,,350.0,
"Saumon farci, préemballé",,,,,,,,,,,,,
Brochette de poisson,,,,,,,,,190.0,320.0,,223.0,
Brochette de crevettes,,100.0,,,,,,,153.0,169.0,,140.0,
"Poisson en sauce, surgelé",,,,,,,,,164.0,331.0,,327.0,
Poisson cuit (aliment moyen),,,114.0,,,,30.0,,228.0,347.0,,216.0,
"Poisson blanc, cuit (aliment moyen)",,,139.0,,,,27.0,,192.0,296.0,,354.0,
"Poisson blanc, de mer, cuit (aliment moyen)",,,156.0,,,,,,189.0,294.0,,392.0,
Paëlla,,,482.0,,,4.0,,,90.0,148.0,,343.0,
Couscous au poisson,,24.0,,,,10.0,23.0,,89.0,192.0,,337.0,
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",,,897.0,,,20.0,,,90.0,190.0,,323.0,
Sushi ou Maki aux produits de la mer,,16.0,366.0,,,,14.0,,81.0,130.0,,218.0,
Terrine ou mousse de légumes,,,,,,6.0,24.0,,132.0,232.0,,524.0,
Flan de légumes,,72.0,722.0,,,,12.0,,100.0,200.0,,354.0,
"Haricots blancs à la sauce tomate, appertisés",,,,,,,,,,,,349.0,
"Piperade basquaise, préemballée",,,643.0,,,,,,14.0,190.0,,300.0,
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",,,,,6.0,,,,,,,500.0,
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",,,,,,,,,,,,73.0,
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",,,239.0,,,,,,,,,167.0,
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",,,188.0,,,,,,,,,134.0,
"Ratatouille cuisinée, préemballée",,,,,,3.0,,,22.0,295.0,,369.0,
"Épinards à la crème, préemballés",,,,,,,,,,,,287.0,
"Gratin d'aubergine, préemballé",,,,,,,,,,,,172.0,
Gratin dauphinois,,,,,,,,,95.0,219.0,,325.0,
Endive au jambon,,,486.0,,,,,,146.0,104.0,,259.0,
"Gratin de chou-fleur, préemballé",,,425.0,,,,,,,147.0,,420.0,
Gratin de légumes,,,,,,,,,,175.0,,228.0,
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",,,,,,,,,,,,470.0,
"Palet ou galette de légumes, préfrit, surgelé",,,,,,,,,,,,351.0,
"Palet ou galette de légumes, préfrit, surgelé, cuit",,40.0,482.0,,,,16.0,,58.0,250.0,,301.0,
"Choucroute, sans garniture, égouttée, cuite",,43.0,731.0,,,,,,15.0,83.0,,505.0,
"Tomate à la provençale, fait maison",,23.0,,,,,,,33.0,247.0,,188.0,
Beignet de légumes,,,,,,,,,,209.0,,275.0,
"Falafel ou Boulette de pois-chiche et/ou fève, frite",,57.0,689.0,,,,51.0,,180.0,390.0,,640.0,
"Gratin de légumes en sauce blanche type béchamel, cuit",,84.0,441.0,,,,13.0,,88.0,190.0,,255.0,
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",,57.0,553.0,,,,40.0,,99.0,340.0,,347.0,1.0
"Blé dur précuit cuisiné, en sachet micro-ondable",,,,,,,,,,,,463.0,
"Blé dur précuit, grains entiers, cuisiné, à poêler",,,,,,,,,,,,603.0,
"Ravioli à la viande, sauce tomate, appertisé",,,542.0,,,,,,,169.0,,382.0,
Lasagnes ou cannelloni à la viande (bolognaise),,,,,,,21.0,,,194.0,,385.0,
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",,14.0,,,,5.0,,,,176.0,,329.0,
Riz cantonais,,,592.0,,,2.0,,,,78.0,,361.0,
"Ravioli chinois à la vapeur à la crevette, cuit",,31.0,437.0,,,,12.0,,65.0,56.0,,383.0,
Gratin de pâtes,,116.0,,,,,20.0,,137.0,124.0,,340.0,
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",,,,,,,,,,,,222.0,
"Pâtes à la carbonara (spaghetti, tagliatelles…)",,,,,,8.0,,,,,1.0,347.0,1.0
"Lasagnes ou cannellonis au poisson, préemballées",,63.0,,,,,,,,,,403.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",,,,,,,,,,,13.0,317.0,
"Couscous de légumes, préemballé",,,,,,,,,,,,274.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",,69.0,352.0,,,,20.0,,93.0,130.0,,420.0,
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",,,,,,,,,,,,512.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",,29.0,319.0,,,,,,,95.0,,206.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",,141.0,361.0,,1.0,,,,165.0,112.0,,458.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",,,534.0,,,,,,,,,422.0,
Nouilles sautées/poêlées aux crevettes,,22.0,491.0,,,,19.0,,54.0,100.0,,334.0,
"Riz blanc, avec poulet, préemballé, cuit",,,,,,,,,,,,312.0,
"Riz blanc, avec légumes et viande, préemballé, cuit",,,,,,,,,,,,338.0,
"Risotto, aux légumes, préemballé",,,,,,,,,,,,304.0,
"Risotto, aux fruits de mer, préemballé",,,,,,,,,,,,337.0,
"Risotto, aux fromages, préemballé",,,,,,,,,,,,328.0,
"Raviolis aux légumes, sauce tomate, appertisés",,15.0,517.0,,,,16.0,,32.0,280.0,,300.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",,50.0,304.0,,,,15.0,,75.0,76.0,,195.0,
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",,,,,,,,,,,,310.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",,,,,,,,,,,,339.0,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",,,326.0,,,,,,,,,287.0,
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",,70.0,873.0,,,20.0,14.0,,42.0,110.0,,534.0,
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",,76.0,422.0,,,,20.0,,85.0,240.0,,238.0,
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",,32.0,557.0,,,,,,40.0,59.0,,340.0,
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",,,,,,,,,,,,397.0,
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",1.0,,,,,,,,,,,398.0,
"Fromage de chèvre pané à dorer, préemballé",,100.0,801.0,,,20.0,14.0,,160.0,120.0,,507.0,
Soufflé au fromage,,226.0,,,,,,,196.0,138.0,,391.0,
"Tartiflette, préemballée",,74.0,467.0,,,,14.0,,95.0,270.0,,300.0,
Gougère,,302.0,,,,,,,297.0,131.0,,453.0,
"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",,517.0,564.0,,,10.0,,,400.0,73.0,,511.0,2.0
Fromage pané au jambon,,,,,,13.0,,,202.0,246.0,7.0,929.0,
Escalope végétale ou steak à base de soja,,160.0,797.0,,,,81.0,,230.0,380.0,,700.0,
Tempeh,,88.0,,,,,60.0,,190.0,310.0,,39.0,
"Nuggets de blé (sans soja), préemballé",,22.0,407.0,,,,15.0,,82.0,340.0,,269.0,
"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",,55.0,719.0,,,,56.0,,150.0,400.0,,472.0,
"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",,61.0,845.0,,,,50.0,,160.0,330.0,,556.0,1.0
Pané soja et blé (ne convient pas aux véganes ou végétaliens),,50.0,553.0,,,,38.0,,140.0,380.0,,411.0,
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",,70.0,671.0,,,,59.0,1.0,170.0,350.0,,452.0,
"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",,170.0,787.0,,,,40.0,,190.0,320.0,,601.0,
"Raviolis au tofu, à la sauce tomate, préemballés",,28.0,544.0,,,,18.0,,46.0,260.0,,322.0,
"Galette de céréales au fromage (sans soja), préemballé",1.0,93.0,662.0,,,,97.0,,350.0,340.0,,398.0,
"Galette de céréales aux légumes (sans soja), préemballé",,29.0,651.0,,,,48.0,,130.0,220.0,,411.0,
"Boulette végétale au soja et/ou blé, préemballée",,73.0,855.0,,,,64.0,,170.0,620.0,,605.0,1.0
"Galette ou pavé aux lentilles, soja et légumes, préemballé",,69.0,593.0,,,,59.0,,150.0,230.0,,338.0,
"Galette ou pavé au blé (seitan) et légumes, préemballé",1.0,42.0,661.0,,,,38.0,,100.0,150.0,,398.0,1.0
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",,89.0,772.0,,,,75.0,,200.0,520.0,,519.0,
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",,72.0,630.0,,,,53.0,,150.0,400.0,,454.0,
"Galette ou pavé au soja et fromage, préemballé",,250.0,643.0,,,,84.0,,280.0,230.0,,427.0,
"Galette ou pavé au soja et légumes, préemballé",,99.0,621.0,,,,70.0,,180.0,430.0,,372.0,
"Galette ou pavé au soja, fromage et légumes, préemballé",,170.0,691.0,,2.0,,82.0,,210.0,320.0,,389.0,
"Haché végétal à base de soja, préemballé",,67.0,515.0,,,,66.0,,170.0,620.0,,312.0,
"Pizza au fromage ou Pizza margherita, préemballée",,239.0,758.0,,,,,,286.0,170.0,,493.0,
"Quiche lorraine, préemballée",,116.0,672.0,,,31.0,,,145.0,164.0,,503.0,
"Crêpe ou Galette fourrée béchamel jambon, préemballée",,41.0,,,,5.0,,,,220.0,,236.0,
"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",,105.0,,,,,,,118.0,148.0,,466.0,
"Crêpe ou Galette fourrée béchamel champignon, préemballée",,,,,,,14.0,,,260.0,,333.0,
"Tarte aux légumes, préemballée",,104.0,,,,,,,,242.0,,392.0,
"Pizza jambon fromage, préemballée",,174.0,770.0,,,6.0,,,170.0,234.0,8.0,608.0,
"Tarte au fromage, préemballée",,180.0,644.0,,,,16.0,,151.0,110.0,,427.0,
"Tarte à la provençale, préemballée",,,633.0,,,,,,,140.0,,293.0,
"Pizza à la viande, type bolognaise, préemballée",,144.0,,,,,27.0,,211.0,189.0,,534.0,
Burritos,,88.0,376.0,,,,20.0,,170.0,260.0,,299.0,
Fajitas,,77.0,462.0,,,,23.0,,210.0,280.0,,357.0,
"Pizza au chorizo ou salami, préemballée",,135.0,,,,,,,,,,608.0,
"Pizza aux fruits de mer, préemballée",,,,,,,,,,,,500.0,
"Pizza au saumon, préemballée",,110.0,711.0,,,,22.0,,160.0,190.0,,492.0,
"Pizza au chèvre et lardons, préemballée",,136.0,,,,,,,,,,590.0,
"Pizza aux légumes ou Pizza 4 saisons, préemballée",,120.0,689.0,,,,20.0,,130.0,200.0,,439.0,
"Pizza champignons fromage, préemballée",,,,,,,,,,,,450.0,
"Pizza 4 fromages, préemballée",,267.0,744.0,,,,22.0,,176.0,141.0,,444.0,
Pizza (aliment moyen),,196.0,726.0,,,11.0,,,181.0,187.0,,509.0,
"Pissaladière, préemballée",,,,,,,,,,,,,
"Tarte à l'oignon, préemballée",,,,,,,,,,,,367.0,
"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",,155.0,661.0,,,,,,174.0,211.0,,524.0,
"Crêpe ou Galette fourrée béchamel fromage, préemballée",,,660.0,,,,,,162.0,118.0,,404.0,
"Flammenkueche ou Tarte flambée aux lardons, préemballée",,52.0,,,,7.0,,,102.0,230.0,,654.0,
"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",,,400.0,,,,,,86.0,,,260.0,
"Tarte ou Tourte aux poireaux, préemballée",,95.0,651.0,,,,14.0,,110.0,130.0,,381.0,
"Tarte au saumon, préemballée",,,462.0,,,,,,111.0,162.0,,333.0,
"Tourte au riesling, préemballée",,,,,,,,,,,,,
"Tarte à la tomate, préemballée",,21.0,551.0,,,,16.0,,64.0,280.0,,318.0,
"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",,240.0,789.0,,,,52.0,,280.0,190.0,,445.0,
"Tarte aux noix de Saint-Jacques, préemballée",,,,,,,,,,,,449.0,
"Pastilla au poulet, préemballée",,,,,,,,,,,,595.0,
"Pizza aux lardons, oignons et fromage, préemballée",,192.0,,,,,,,,,,570.0,
"Crêpe ou Galette aux noix de St Jacques, préemballée",,,,,,,,,,,,,
Tarte ou quiche salée (aliment moyen),,,640.0,,,,,,123.0,187.0,,479.0,
"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",,82.0,127.0,,,,14.0,,100.0,180.0,,304.0,
"Tarte au maroilles ou Flamiche au maroilles, préemballée",,,,,,,,,,,,,
"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",,,,,,,,,,,,445.0,
"Ficelle picarde, préemballée",,,,,,,,,,,,,
"Tarte épinard chèvre, préemballée",1.0,79.0,690.0,,,,19.0,,98.0,180.0,,393.0,
"Tielle sétoise, préemballée",,,,,,,,,,,,610.0,
"Pizza au thon, préemballée",,,,,,,,,,,,397.0,
"Pizza kebab, préemballée",,,,,,,,,,,,549.0,
"Pizza au poulet, préemballée",,,,,,,,,,,,462.0,
"Pizza type raclette ou tartiflette, préemballée",,,,,,,,,,,,603.0,
"Pizza au speck ou jambon cru, préemballée",,163.0,,,,,,,,,,767.0,
"Focaccia, garnie",,,,,,,,,,,,585.0,
"Fougasse, garnie",,,,,,18.0,,,,177.0,,711.0,
"Croque-monsieur, fait maison",,249.0,875.0,,,11.0,,,200.0,189.0,,686.0,
"Hot-dog, préemballé",,56.0,993.0,,,,17.0,,150.0,210.0,,676.0,
"Hamburger, provenant de fast food",,64.0,,,,,,,110.0,251.0,,492.0,
"Cheeseburger, provenant de fast food",,,425.0,,,15.0,,,142.0,198.0,,528.0,
"Double cheeseburger, provenant de fast food",,104.0,607.0,,,,,,161.0,184.0,,461.0,
"Burger au poisson, provenant de fast food",,55.0,645.0,,,,22.0,,140.0,210.0,,440.0,
"Sandwich grec ou Kebab, pita, crudités",,,607.0,,,3.0,,,,316.0,,492.0,
"Sandwich grec ou Kebab, baguette, crudités",,,,,,,,,117.0,263.0,10.0,469.0,
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",,,,,,,,,90.0,160.0,,514.0,
"Sandwich panini, jambon cru, mozzarella, tomates",,97.0,,,,,,,,184.0,,493.0,
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",,,,,,,,,108.0,186.0,,569.0,
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",,,,,,,,,,167.0,,557.0,
"Sandwich baguette, jambon emmental, préemballé",,,,,,,,,,,,635.0,
"Sandwich baguette, saumon fumé, beurre",,,,,,,,,118.0,178.0,,742.0,
"Sandwich baguette, thon, maïs, crudités, préemballé",,,,,,,,,,,,410.0,
Burger au poulet,,66.0,747.0,,,,22.0,,170.0,220.0,,463.0,
Pan bagnat,,,,,,,,,,157.0,,428.0,
"Sandwich baguette, jambon, beurre",,,,,,,,,152.0,171.0,,675.0,
"Sandwich baguette, camembert, beurre",,137.0,,,,,,,150.0,111.0,,670.0,
"Sandwich baguette, pâté, cornichons",,,,,,,,,119.0,143.0,,712.0,
