food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Soupe aux légumes variés, préemballée à réchauffer",,1710.0,0.0,,,,,,,,,,,
"Soupe de poissons et / ou crustacés, préemballée à réchauffer",,446.0,,,,,,,,,,,,
"Soupe aux légumes variés, déshydratée reconstituée",,261.0,0.0,,,,,,,,,,,
"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",,120.0,,,,,,,,,,,,
"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",1.0,119.0,0.0,,0.0,,,,,,,,2.0,
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",0.0,,,,,,0.0,,,0.0,,,12.0,
"Soupe à l'oignon, préemballée à réchauffer",1.0,1.0,0.0,,,,,,,,0.0,,6.0,0.0
"Soupe aux champignons, préemballée à réchauffer",,0.0,,,,,,,,,,,1.0,0.0
"Soupe à la carotte, préemballée à réchauffer",4.0,3500.0,,,,,11.0,,,,,,9.0,
"Soupe à la tomate, préemballée à réchauffer",,1680.0,,,,,,,,,,,,
"Soupe chorba frik, à base de viande et de frik",,172.0,,,,,,,,,,,16.0,
"Soupe minestrone, préemballée à réchauffer",0.0,885.0,0.0,,,,,,,,,,10.0,0.0
"Soupe au pistou, déshydratée reconstituée",0.0,900.0,,,,,7.0,,,,,,18.0,
"Soupe de poissons et / ou crustacés, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe asiatique, avec pâtes, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe marocaine, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe aux poireaux et pommes de terre, déshydratée reconstituée",10.0,90.0,,,,,30.0,,,,,,,
"Soupe à la volaille et aux légumes, déshydratée reconstituée",,,,,,,3.0,,,,,,8.0,
"Bouillon de boeuf, déshydraté reconstitué",0.0,0.0,0.0,,0.0,,0.0,,,,,,,
"Soupe aux asperges, déshydratée reconstituée",,,,,,,,,,,,,10.0,
"Soupe à la tomate et aux vermicelles, préemballée à réchauffer",,,,,,,20.0,,,,,,,
"Soupe aux céréales et aux légumes, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe à la tomate, déshydratée reconstituée",,147.0,,,,,,,,,,,,
"Soupe aux champignons, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe à l'oignon, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe au potiron, préemballée à réchauffer",,2530.0,0.0,,,,,,,,,,,
"Bouillon de volaille, déshydraté reconstitué",1.0,0.0,,,,,0.0,,,,,0.0,1.0,
"Bouillon de légumes, déshydraté reconstitué",0.0,2.0,,,,,0.0,,,,,0.0,1.0,0.0
"Soupe à la tomate et aux vermicelles, déshydratée reconstituée",,162.0,,,,,,,,,,,11.0,
"Soupe à la volaille et aux vermicelles, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe au pistou, préemballée à réchauffer",,,,,,,,,,,,,,
"Soupe au potiron, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe asiatique, avec pâtes, préemballée à réchauffer",,,,,,,,,,,,,,
"Soupe minestrone, déshydratée reconstituée",,,,,,,5.0,,,,,,18.0,
"Soupe au cresson, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe au cresson, préemballée à réchauffer",,,,,,,,,,,,,30.0,
"Soupe aux légumes avec fromage, préemballée à réchauffer",,,,,,,11.0,,,,,,30.0,
"Soupe aux légumes verts, préemballée à réchauffer",,177.0,,,,,9.0,,,,,,,
"Soupe aux légumes verts, déshydratée reconstituée",,,,,,,,,,,,,,
"Soupe aux pois cassés, préemballée à réchauffer",,,,,,,,,,,,,,
"Soupe froide type Gaspacho ou Gazpacho, préemballée",,291.0,,,,,,,,,,,,
"Soupe aux asperges, préemballée à réchauffer",,,,,,,,,,,,,,
Soupe (aliment moyen),,1090.0,,,,,,,,,,,,
"Soupe miso, déshydratée reconstituée",,,,,,,,,,,,,,
Tripes à la mode de Caen,,,,,,,0.0,,,,,,,
"Tripes à la mode de Caen, préemballées",,,,,,,,,,,,,,
Tripes à la tomate ou à la provençale,,,,,,,,,,,,,,
Blanquette de veau,,736.0,,,,,,,,,,,,
Boeuf bourguignon,10.0,,,,,,,,,,,,11.0,
"Sauté d'agneau au curry, préemballé",,,,,,,,,,,,,,
"Canard en sauce (poivre vert, chasseur, etc.), préemballé",,,,,,,,,,,,,,
"Lapin à la moutarde, préemballé",,,,,,,,,,,,,,
Coq au vin,,0.0,,,,,,,,,,,31.0,
Paupiette de veau,,1160.0,,,,,,,,,,,,
Paupiette de volaille,,1160.0,,,,,,,,,,,,
Viande en sauce (aliment moyen),,542.0,,,,,,,,,,,,
Poulet au curry et au lait de coco,,412.0,,,,,,,,,,,,
"Meloukhia, plat à base de boeuf et corete, fait maison",0.0,143.0,0.0,,,,,,,,,,20.0,
"Palette à la diable, préemballée",,,,,,,,,,,,,,
"Langue de boeuf sauce madère, préemballée",,,,,,,,,,,,,,
"Porc au caramel, préemballé",,,,,,,,,,,,,,
"Boulettes au boeuf, à la sauce tomate, préemballées",,,,,,,,,,,,,,
"Paupiette de veau, préemballée,  cuite au four",,,,,,,,,,,,,,
"Carpaccio de boeuf, avec marinade",,,,,,,,,,,,,12.0,
Yakitori (brochettes japonaises grillées en sauce),,,,,,,,,,,,,,
"Brochette de boeuf, cuite",,,,,,,,,,,,,,
"Brochette de volaille, cuite",,,,,,,,,,,,,,
"Hachis parmentier à la viande, préemballé",,0.0,,,,,,,,,,,,
Couscous au mouton,0.0,724.0,,,,,5.0,,,,,,18.0,
"Couscous à la viande ou au poulet, préemballé, allégé",34.0,779.0,,,,,7.0,,,2.0,,,18.0,
"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",,,,,,,,,,,,,,
"Couscous royal (avec plusieurs viandes), préemballé",,700.0,0.0,,,,,,,,,,,
Couscous au poulet,14.0,700.0,,,,,,,,,,,,
"Couscous à la viande, préemballé",,,,,,,,,,,,,,
"Parmentier de canard, préemballé",,,,,,,,,,,,,,
"Parmentier de canard, préemballé, cuit",,,,,,,,,,,,,,
"Cassoulet, appertisé",,0.0,,,,,,,,,,,30.0,
"Choucroute garnie, préemballée",0.0,0.0,0.0,,,,,,,,,,10.0,
"Petit salé ou saucisse aux lentilles, préemballé",,280.0,,,,,,,,,,,,
"Pot-au-feu, préemballé",,718.0,,,,,,,,,,,,
Boeuf aux carottes,0.0,456.0,0.0,,,,2.0,,,,,,,
Potée auvergnate (chou et porc),0.0,587.0,0.0,,,,,,,,,,,
"Cassoulet au porc, appertisé",,,,,,,,,,,,,,
"Cassoulet au canard ou oie, appertisé",,,,,,,,,,,,,,
Tomate farcie,10.0,,,,,,7.0,,,,,,,
"Chou farci, préemballé",,,,,,,,,,,,,,
"Chili con carne, préemballé",,233.0,,,,,,,,,,,44.0,
Moussaka,37.0,150.0,,,,,,,,,,,10.0,
Navarin d'agneau aux légumes,,846.0,,,,,,,,,,,,
Tajine de mouton,4.0,700.0,,,,,,,,,,,24.0,
Osso buco,0.0,481.0,0.0,,,,,,,,,,11.0,
"Poulet basquaise, préemballé",,,,,,,,,,,,,,
"Tajine de poulet, préemballé",,152.0,,,,,,,,,,,,
"Chop suey (porc ou poulet), préemballé",,,,,,,,,,,,,,
Légumes farcis (sauf tomate),,,,,,,,,,,,,,
Moules marinières (oignons et vin blanc),,,,,,,,,,,,,,
"Moules farcies (matière grasse, persillade…), préemballées, crues",209.0,,,,,,,,,,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru",,,,,,,,,,,,,,
"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",,225.0,,,,,,,,,,,,
"Saumon à l'oseille, préemballé",,,,,,,,,,,,,,
"Poisson blanc à la bordelaise, préemballé",,,,,,,,,,,,,,
"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé",,449.0,,,,,,,,,,,,
"Poisson blanc à la florentine (sauce aux épinards), préemballé",,,,,,,,,,,,,,
"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",,,,,,,,,,,,,,
"Poisson blanc à la sauce moutarde, préemballé",,,,,,,,,,,,,,
"Poisson blanc à la parisienne (sauce aux champignons), préemballé",,,,,,,,,,,,,,
"Poisson blanc à l'estragon, préemballé",,,,,,,,,,,,,,
"Poisson blanc sauce oseille, préemballé",,0.0,,,,,,,,,,,,
"Saumon farci, préemballé",,,,,,,,,,,,,,
Brochette de poisson,,,,,,,,,,,,,12.0,
Brochette de crevettes,,,,,,,,,,,,,,
"Poisson en sauce, surgelé",19.0,0.0,,,,,0.0,,,,,,,
Poisson cuit (aliment moyen),,,,,,,,,,,,,,
"Poisson blanc, cuit (aliment moyen)",,,,,,,,,,,,,15.0,
"Poisson blanc, de mer, cuit (aliment moyen)",,,,,,,,,,,,,,
Paëlla,5.0,125.0,,,,,,,,,,,,
Couscous au poisson,,1020.0,,,,,,,,,,,24.0,
"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé",16.0,,,,,,,,,,,,,
Sushi ou Maki aux produits de la mer,,,,,,,,,,,,,,
Terrine ou mousse de légumes,20.0,,,,,,,,,,,,110.0,
Flan de légumes,156.0,1790.0,,,,,,,,,,,,
"Haricots blancs à la sauce tomate, appertisés",,,,,,,,,,,,,,
"Piperade basquaise, préemballée",,1450.0,,,,,,,,,,,11.0,
"Poêlée de légumes assaisonnés sans champignon, surgelée, crue",,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes, surgelée, crue",,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés grillée, méridionale ou méditerranéenne, surgelée, crue",,,,,,,,,,,,,,
"Poêlée de légumes assaisonnés aux champignons (""champêtre""), surgelée",,,,,,,,,,,,,,
"Ratatouille cuisinée, préemballée",10.0,373.0,0.0,,,,,,,,,,18.0,
"Épinards à la crème, préemballés",,,,,,,,,,,,,,
"Gratin d'aubergine, préemballé",,,,,,,,,,,,,,
Gratin dauphinois,49.0,11.0,0.0,,,,,,,,,,7.0,0.0
Endive au jambon,,291.0,,,,,,,,,,,,
"Gratin de chou-fleur, préemballé",,,,,,,,,,,,,,
Gratin de légumes,,567.0,,,,,,,,,,,41.0,
"Riste d'aubergines (aubergines, tomates, oignons), préemballée",,,,,,,,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé",,,,,,,,,,,,,,
"Palet ou galette de légumes, préfrit, surgelé, cuit",,986.0,,,,,,,,,,,,
"Choucroute, sans garniture, égouttée, cuite",,,,,31.0,,,,,,,,,
"Tomate à la provençale, fait maison",11.0,1480.0,,,,,,,,,,,,0.0
Beignet de légumes,,197.0,,,,,,,,,,,43.0,
"Falafel ou Boulette de pois-chiche et/ou fève, frite",0.0,35.0,,,10.0,,,,,,,,105.0,0.0
"Gratin de légumes en sauce blanche type béchamel, cuit",,609.0,,,,,,,,,,,,
"Falafel ou Boulette de pois-chiche et/ou fève, préemballé",,,,,,,,,,,,,,
"Blé dur précuit cuisiné, en sachet micro-ondable",,,0.0,,,,,,,3.0,0.0,,118.0,0.0
"Blé dur précuit, grains entiers, cuisiné, à poêler",,,,,,,,,,,,,,
"Ravioli à la viande, sauce tomate, appertisé",0.0,150.0,,,,,,,,,,,3.0,
Lasagnes ou cannelloni à la viande (bolognaise),12.0,107.0,,,,,,,,,,,,
"Pâtes à la bolognaise (spaghetti, tagliatelles…)",0.0,150.0,0.0,,,,,,,,,,,
Riz cantonais,4.0,60.0,,,,,,,,,,,33.0,
"Ravioli chinois à la vapeur à la crevette, cuit",,,,,,,,,,,,,,
Gratin de pâtes,67.0,0.0,,,,,,,,,,,6.0,
"Lasagnes ou cannellonis aux légumes, préemballées, cuits",,,,,,,,,,,,,,
"Pâtes à la carbonara (spaghetti, tagliatelles…)",,60.0,,,,,,,,,,,,
"Lasagnes ou cannellonis au poisson, préemballées",,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites",,15.0,,,,,,,,,,,,
"Couscous de légumes, préemballé",,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites",,157.0,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues",,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites",,82.0,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues",23.0,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues",,,,,,,,,,,,,,
Nouilles sautées/poêlées aux crevettes,,380.0,,,,,,,,,,,77.0,
"Riz blanc, avec poulet, préemballé, cuit",,,,,,,,,,,,,,
"Riz blanc, avec légumes et viande, préemballé, cuit",,,,,,,,,,,,,,
"Risotto, aux légumes, préemballé",,,,,,,,,,,,,,
"Risotto, aux fruits de mer, préemballé",,,,,,,,,,,,,,
"Risotto, aux fromages, préemballé",,,,,,,,,,,,,,
"Raviolis aux légumes, sauce tomate, appertisés",,1170.0,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, cuites",,119.0,,,,,,,,,,,,
"Pâtes en sauce aux fromages (spaghetti, tagliatelles…), préemballées",,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",,,,,,,,,,,,,,
"Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen)",,,,,,,,,,,,,,
"Feuille de vigne farcie au riz ou dolmas, égouttée, préemballée",,685.0,,,,,,,,,,,,
"Lasagnes ou cannellonis aux légumes, préemballés, cuits",,531.0,,,,,,,,,,,27.0,
"Lasagnes ou cannellonis aux légumes et au fromage de chèvre, préemballés, cuits",54.0,235.0,,,,,,,,,,,,
"Lasagnes ou cannellonis au fromage et aux épinards, préemballés",,,,,,,,,,,,,,
"Aligot (purée de pomme de terre à la tomme fraîche), préemballé",,,,,,,,,,,,,,
"Fromage de chèvre pané à dorer, préemballé",133.0,,,,,,,,,,,,,
Soufflé au fromage,131.0,38.0,,,,,1.0,,,,,,,
"Tartiflette, préemballée",,,,,,,,,,,,,,
Gougère,272.0,116.0,,,,,0.0,,,,,,,
"Préparation à base de fromage(s) pour fondue savoyarde, préemballée",126.0,,,,,,0.0,,,,,,,
Fromage pané au jambon,26.0,21.0,,,,,,,,,,,,
Escalope végétale ou steak à base de soja,,24.0,,,,,2.0,,,,,,,
Tempeh,0.0,,,,,,,,,,,,,
"Nuggets de blé (sans soja), préemballé",,,,,,,,,,,,,,
"Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,
"Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,
Pané soja et blé (ne convient pas aux véganes ou végétaliens),,,,,,,,,,1.0,,,,
"Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée",,,,,,,,,,,,,,
"Escalope panée, soja, blé et fromage, type cordon bleu, préemballée",,27.0,,,,,,,,,,,,
"Raviolis au tofu, à la sauce tomate, préemballés",,144.0,,,,,,,,,,,,
"Galette de céréales au fromage (sans soja), préemballé",,,,,,,,,,,,,,
"Galette de céréales aux légumes (sans soja), préemballé",,149.0,,,,,,,,,,,,
"Boulette végétale au soja et/ou blé, préemballée",,56.0,,,,,,,,,,,,
"Galette ou pavé aux lentilles, soja et légumes, préemballé",,457.0,,,,,,,,,,,,
"Galette ou pavé au blé (seitan) et légumes, préemballé",,292.0,,,,,,,,,,,,
"Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,
"Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,138.0,
"Galette ou pavé au soja et fromage, préemballé",,34.0,,,,,,,,,,,,
"Galette ou pavé au soja et légumes, préemballé",,158.0,,,,,,,,,,,,
"Galette ou pavé au soja, fromage et légumes, préemballé",,118.0,,,,,,,,,,,,
"Haché végétal à base de soja, préemballé",,167.0,,,,,,,,,,,34.0,
"Pizza au fromage ou Pizza margherita, préemballée",64.0,97.0,0.0,,,,,,,,,,40.0,
"Quiche lorraine, préemballée",,,,,,,,,,,,,,
"Crêpe ou Galette fourrée béchamel jambon, préemballée",,,,,,,,,,,,,,
"Crêpe ou Galette fourrée béchamel jambon fromage, préemballée",,,,,,,,,,,,,,
"Crêpe ou Galette fourrée béchamel champignon, préemballée",,,,,,,,,,,,,,
"Tarte aux légumes, préemballée",,,,,,,,,,,,,,
"Pizza jambon fromage, préemballée",43.0,100.0,,,,,,,,,,,17.0,
"Tarte au fromage, préemballée",,,,,,,,,,,,,,
"Tarte à la provençale, préemballée",,,,,,,,,,,,,,
"Pizza à la viande, type bolognaise, préemballée",61.0,92.0,0.0,,,,,,,,,,29.0,
Burritos,,470.0,,,8.0,,,,,,,,,
Fajitas,,385.0,,,,,,,,,,,,
"Pizza au chorizo ou salami, préemballée",,,,,,,,,,,,,,
"Pizza aux fruits de mer, préemballée",,,,,,,,,,,,,,
"Pizza au saumon, préemballée",,144.0,,,,,,,,,,,15.0,
"Pizza au chèvre et lardons, préemballée",,,,,,,,,,,,,,
"Pizza aux légumes ou Pizza 4 saisons, préemballée",,153.0,,,,,,,,,,,,
"Pizza champignons fromage, préemballée",,,,,,,,,,,,,,
"Pizza 4 fromages, préemballée",46.0,,,,,,,,,,,,,
Pizza (aliment moyen),,,,,,,,,,,,,,
"Pissaladière, préemballée",,,,,,,,,,,,,,
"Tarte à l'oignon, préemballée",,,,,,,,,,,,,,
"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",,,,,,,,,,,,,31.0,
"Crêpe ou Galette fourrée béchamel fromage, préemballée",,,,,,,,,,,,,,
"Flammenkueche ou Tarte flambée aux lardons, préemballée",26.0,8.0,,,,,,,,,,,20.0,
"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",,,,,,,,,,,,,,
"Tarte ou Tourte aux poireaux, préemballée",,216.0,,,,,,,,,,,,
"Tarte au saumon, préemballée",,,,,,,,,,,,,,
"Tourte au riesling, préemballée",,,,,,,,,,,,,,
"Tarte à la tomate, préemballée",,551.0,,,,,,,,,,,,
"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",116.0,,,,,,,,,,,,,
"Tarte aux noix de Saint-Jacques, préemballée",,,,,,,,,,,,,,
"Pastilla au poulet, préemballée",,,,,,,,,,,,,,
"Pizza aux lardons, oignons et fromage, préemballée",,,,,,,,,,,,,,
"Crêpe ou Galette aux noix de St Jacques, préemballée",,,,,,,,,,,,,,
Tarte ou quiche salée (aliment moyen),,,,,,,,,,,,,27.0,
"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",,,,,,,,,,,,,,
"Tarte au maroilles ou Flamiche au maroilles, préemballée",,,,,,,,,,,,,,
"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",,,,,,,,,,,,,,
"Ficelle picarde, préemballée",,,,,,,,,,,,,,
"Tarte épinard chèvre, préemballée",69.0,893.0,,,,,,,,,,,,
"Tielle sétoise, préemballée",,,,,,,,,,,,,,
"Pizza au thon, préemballée",,,,,,,,,,,,,,
"Pizza kebab, préemballée",,,,,,,,,,,,,,
"Pizza au poulet, préemballée",,,,,,,,,,,,,,
"Pizza type raclette ou tartiflette, préemballée",,,,,,,,,,,,,,
"Pizza au speck ou jambon cru, préemballée",,,,,,,,,,,,,,
"Focaccia, garnie",,,,,,,,,,,,,,
"Fougasse, garnie",0.0,21.0,0.0,,,,,,,,,,,
"Croque-monsieur, fait maison",120.0,,,,,,,,,,,0.0,,
"Hot-dog, préemballé",,,,1.0,,,,,,,,,,
"Hamburger, provenant de fast food",0.0,34.0,,,,,,,,,,,17.0,
"Cheeseburger, provenant de fast food",50.0,55.0,,,,,,,,,,,7.0,
"Double cheeseburger, provenant de fast food",34.0,,,,,,,,,,,,,
"Burger au poisson, provenant de fast food",,,,,,,,,,,,,,
"Sandwich grec ou Kebab, pita, crudités",,,,,,,,,,,,,,
"Sandwich grec ou Kebab, baguette, crudités",1.0,62.0,0.0,,,,2.0,,,,,,15.0,
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",,132.0,,,,,,,,,,,19.0,
"Sandwich panini, jambon cru, mozzarella, tomates",,,,,,,,,,,,,,
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",,179.0,,,,,,,,,,,,
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",,111.0,,,,,,,,,,,,
"Sandwich baguette, jambon emmental, préemballé",,,,,,,,,,,,,,
"Sandwich baguette, saumon fumé, beurre",,,,,,,,,,,,,,
"Sandwich baguette, thon, maïs, crudités, préemballé",,,,,,,,,,,,,,
Burger au poulet,,,,,,,,,,,,,,
Pan bagnat,,150.0,,,,,,,,,,,,
"Sandwich baguette, jambon, beurre",,20.0,,,,,,,,,,,17.0,
"Sandwich baguette, camembert, beurre",153.0,,,,,,0.0,,,,,,,
"Sandwich baguette, pâté, cornichons",1340.0,52.0,,,,,,,,,,,,1.0
"Sandwich baguette, saucisson, beurre",,20.0,,,,,2.0,,,,,,18.0,
"Sandwich baguette, jambon, emmental, beurre",103.0,,,,,,,,,,,,,
Sandwich (aliment moyen),,,,,,,,,,,,,,
"Toasts ou Canapés salés, garnitures diverses, préemballés",446.0,,,,,,,,,,,,,
"Sandwich baguette, crudités diverses, mayonnaise",,672.0,,,,,,,,,,,,
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",,111.0,,,,,,,,,,,,
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",,135.0,,,,,,,,,,,39.0,
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",,111.0,,,,,,,,,,,,
"Sandwich baguette, merguez, ketchup moutarde",,258.0,,,,,,,,,,,,
"Sandwich baguette, salami, beurre",,20.0,,,,,0.0,,,,,,,
Croque-madame,141.0,,,,,,,,,,,,,
Sandwich baguette (aliment moyen),,,,,,,,,,,,,,
"Sandwich pain de mie, garnitures diverses, préemballé",,,,,,,,,,,,,,
"Croque-monsieur, préemballé",,,,,,,,,,,,,,
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",,,,,,,,,,,,,,
"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",,,,,,,,,,,,,,
"Sandwich pain de mie complet, jambon, fromage, préemballé",,,,,,,,,,,,,,
"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",,,,,,,,,,,,,,
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",,,,,,,,,,,,,,
"Samossa ou Samoussa, préemballé, cuit",,34.0,,,,,,,,,,,20.0,
Feuilleté au poisson et / ou fruits de mer,86.0,280.0,,,,,0.0,,,,,,,
"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",,,,,,,,,,,,,,
"Feuilleté aux escargots, préemballé",,,,,,,,,,,,,,
Feuilleté ou Friand au fromage,166.0,80.0,,,,,,,,,,,7.0,
"Feuilleté ou Friand à la viande, préemballé",,,,,,,,,,,,,,
"Bouchée à la reine, à la viande/volaille/quenelle",,108.0,,,,,,,,,,,,
Croissant au jambon,,,,,,,,,,,,,,
Rouleau de printemps,,74.0,,,,,,,,,,,,
Nem ou Pâté impérial,,180.0,,,,,,,,,,,,
"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",,,,,,,,,,,,,,
"Bouchée à la reine, au poisson et fruits de mer",,,,,,,,,,,,,,
Feuilleté ou Friand jambon fromage,131.0,,,,,,,,,,,,,
"Beignet de viande, volaille ou poisson, fait maison, cru",,,,,,,,,,,,,,
"Brick à l'oeuf, fait maison, cuit",122.0,100.0,,7.0,,,,,,,,,92.0,
Brick au boeuf,28.0,9.0,,,,,,,,,,,23.0,
"Brick à la pomme de terre, fait maison, cuit",14.0,45.0,,,,,,,,,,,21.0,
Feuilleté salé (aliment moyen),146.0,116.0,,,,,,,,,,,,
"Bouchée à la reine, garnie (aliment moyen)",,,,,,,,,,,,,,
"Nem ou Pâté impérial, au poulet, préemballé, cuit",,602.0,,,,,,,,,,,,
"Nem ou Pâté impérial, au porc, préemballé, cuit",,394.0,,,,,,,,,,,,
"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",,688.0,,,,,,,,,,,,
"Croissant au jambon fromage, préemballé",,,,,,,,,,,,,,
"Avocat, pulpe, cru",0.0,,0.0,,,,,,,,,,,0.0
"Bette ou blette, crue",0.0,,,,,,,,,,,,,0.0
"Carotte, crue",0.0,8290.0,0.0,,,,,,,,,,,0.0
